k,test_size_pct,metric,features,accuracy
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.799129
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.796709
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.784608
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.797193
13,15.00,EUCLIDEAN,charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.799613
13,15.00,EUCLIDEAN,averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.800581
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.785576
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.798645
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.800097
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.802033
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.798161
