k,test_size_pct,metric,features,accuracy
1,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.729583
2,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.729583
3,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.764428
4,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.773503
5,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.783666
6,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.789111
7,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.788385
8,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.792377
9,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.791652
10,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.791289
11,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.793829
12,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.793829
13,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.792740
14,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.792377
15,20.00,MANHATTAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.790926
1,20.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.729583
2,20.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.729583
3,20.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.766606
4,20.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.774955
5,20.00,EUCLIDEAN,alnumToOtherCharsRatio|averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.782214
